index,name,activity,celebrity_indice,phone_number,web_site,adresse
176,La générale des assurances - Agences Azareel de Godomey,Agence d'assurance,N/A N/A,https://www.google.com/maps/place/La+g%C3%A9n%C3%A9rale+des+assurances+-+Agences+Azareel+de+Godomey/data=!4m7!3m6!1s0x10235723f7202729:0x1cfe5720384ac915!8m2!3d6.3844564!4d2.3467342!16s%2Fg%2F11fqsl1cm7!19sChIJKScg9yNXIxARFclKOCBX_hw?authuser=0&hl=fr&rclk=1,N/A,"98MW+QMQ, Rte de Lomé"
177,SUNU Assurances IARD Bénin,Agence d'assurance,"4,1 (15)",21 31 67 35,https://sunu-group.com/fr/home,21 31 67 35
178,ARIA-BENIN,Agence d'assurance,"4,0 (1)",https://www.google.com/maps/place/ARIA-BENIN/data=!4m7!3m6!1s0x102355c9666e62fd:0x853d42c064abb891!8m2!3d6.3727788!4d2.4421748!16s%2Fg%2F11js3dv7h6!19sChIJ_WJuZslVIxARkbirZMBCPYU?authuser=0&hl=fr&rclk=1,N/A,"9CFR+4V7, Rue Bel Air"
179,"SAHAM ASSURANCE, DIRECTION GENERALE",Compagnie d'assurance automobile,"3,9 (24)",21 31 54 00,N/A,21 31 54 00
180,Salimant ioz,Agence d'assurance,N/A N/A,52 82 39 64,N/A,9F74+68P
181,LMS VIE ZOÉ,Agence d'assurance,N/A N/A,https://www.google.com/maps/place/LMS+VIE+ZO%C3%89/data=!4m7!3m6!1s0x102355a645e3e569:0xe060074e6da2fcef!8m2!3d6.3702928!4d2.3912362!16s%2Fg%2F11jpbnv7wg!19sChIJaeXjRaZVIxAR7_yibU4HYOA?authuser=0&hl=fr&rclk=1,N/A,229 97593338 22995175638
182,CACOFA,Courtier d'assurances,N/A N/A,https://www.google.com/maps/place/CACOFA/data=!4m7!3m6!1s0x102355c743067989:0xea5b942a7236bbae!8m2!3d6.3856641!4d2.4203813!16s%2Fg%2F11qnks0c78!19sChIJiXkGQ8dVIxARrrs2ciqUW-o?authuser=0&hl=fr&rclk=1,N/A,9CPC+756
183,PEBCo yenawa,Agence d'assurance,N/A N/A,https://www.google.com/maps/place/PEBCo+yenawa/data=!4m7!3m6!1s0x102355ca437ba749:0xa50f5fbac2d421!8m2!3d6.3933559!4d2.4487663!16s%2Fg%2F11t0rdpx7v!19sChIJSad7Q8pVIxARIdTCul8PpQA?authuser=0&hl=fr&rclk=1,N/A,9CVX+8GR
184,Western union,Agence d'assurance,N/A N/A,https://www.google.com/maps/place/Western+union/data=!4m7!3m6!1s0x102355a7fae49863:0x214c7fed3239ddd5!8m2!3d6.3981824!4d2.3998834!16s%2Fg%2F11sjhmd7l0!19sChIJY5jk-qdVIxAR1d05Mu1_TCE?authuser=0&hl=fr&rclk=1,N/A,99XX+7XC
185,Ste SOREC Sarl,Agence d'assurance,"5,0 (1)",65 47 87 87,N/A,996H+9RC
186,Adams,Agence d'assurance,N/A N/A,https://www.google.com/maps/place/Adams/data=!4m7!3m6!1s0x103cab443914dde5:0x6ede27b46eb47e4c!8m2!3d6.3727923!4d2.4850469!16s%2Fg%2F11sm75mwry!19sChIJ5d0UOUSrPBARTH60brQn3m4?authuser=0&hl=fr&rclk=1,N/A,9FFP+42
187,GAB du Bénin,Compagnie d'assurance-vie,"4,6 (8)",21 33 82 30,N/A,01 BP 3575 Ganhi
188,SUNU Assurances,Compagnie d'assurance-vie,"4,1 (56)",60 83 80 80,N/A,60 83 80 80
189,ADK COPORATE CEA,Agence d'assurance,N/A N/A,https://www.google.com/maps/place/ADK+COPORATE+CEA/data=!4m7!3m6!1s0x10235523b83a0759:0x6813a42eb8391842!8m2!3d6.3891766!4d2.381644!16s%2Fg%2F11jt71k9l5!19sChIJWQc6uCNVIxARQhg5uC6kE2g?authuser=0&hl=fr&rclk=1,N/A,99QJ+MMC
190,Zorobabel De,Agence d'assurance,N/A N/A,97 01 29 27,N/A,N/A
191,Saham assurance,Compagnie d'assurance,"3,8 (37)",https://www.google.com/maps/place/Saham+assurance/data=!4m7!3m6!1s0x102355411efb66c7:0xa11f8bc44e8707fd!8m2!3d6.3873305!4d2.4467704!16s%2Fg%2F11fmbjl599!19sChIJx2b7HkFVIxAR_QeHTsSLH6E?authuser=0&hl=fr&rclk=1,N/A,"9CPW+WPJ, Rue 1451"
192,Tabitha Assurances Bénin,Courtier d'assurances,N/A N/A,21 31 04 38,N/A,"9C6J+GRR, Ave Proche"
193,Tabitha Assurances,Compagnie d'assurance,"4,7 (3)",https://www.google.com/maps/place/Tabitha+Assurances/data=!4m7!3m6!1s0x102355035c5f7aa1:0x860ef03723052fd8!8m2!3d6.3643017!4d2.4297383!16s%2Fg%2F11gg65gvx9!19sChIJoXpfXANVIxAR2C8FIzfwDoY?authuser=0&hl=fr&rclk=1,N/A,9C7H+PVH
194,SAAB assurance,Agence d'assurance,"4,4 (5)",https://www.google.com/maps/place/SAAB+assurance/data=!4m7!3m6!1s0x1023544a2d2a6edf:0x163b874c6df11cec!8m2!3d6.3548048!4d2.4035763!16s%2Fg%2F11c6v9j1gl!19sChIJ324qLUpUIxAR7BzxbUyHOxY?authuser=0&hl=fr&rclk=1,N/A,9C33+WCG
195,NSIA Assurances Benin,Compagnie d'assurance,"4,0 (211)",21 36 55 00,N/A,"9C5C+P43, Rue des Amoureux"
196,L'Africaine Vie Bénin,Compagnie d'assurance,"4,6 (18)",21 30 39 93,https://africaineviebenin.com/,"Lot 19, Patte d'Oie"
197,CECA-ASSURANCES,Courtier d'assurances,"4,0 (2)",96 47 06 57,https://web.facebook.com/cecaassurance,96 47 06 57
198,VIRGO SERVICE INTER,Agence d'assurance,"4,7 (3)",94 03 13 13,N/A,"9C4H+R57, Rue du Dahomey (Rue 111"
199,Africa BSI - François Masson et Associés,Courtier d'assurances,"4,8 (23)",40 10 21 02,http://www.africa-bsi.com/,"Immeuble SDP, 1354 Boulevard du Canada"
200,Godomey Gare,Agence d'assurance,N/A N/A,https://www.google.com/maps/place/Godomey+Gare/data=!4m7!3m6!1s0x10235744d6da6813:0xde0e8248b629bfa0!8m2!3d6.3774603!4d2.3419215!16s%2Fg%2F11ss65g09l!19sChIJE2ja1kRXIxARoL8ptkiCDt4?authuser=0&hl=fr&rclk=1,N/A,"GARE 03, GODOMEY, BP 3504"
201,FGA du Bénin: Fonds de Garantie Automobile,Agence d'assurance,"4,4 (10)",https://www.google.com/maps/place/FGA+du+B%C3%A9nin:+Fonds+de+Garantie+Automobile/data=!4m7!3m6!1s0x102355f8d6a356b5:0x640c26504994b4b6!8m2!3d6.3724987!4d2.390697!16s%2Fg%2F11r8qbfwqq!19sChIJtVaj1vhVIxARtrSUSVAmDGQ?authuser=0&hl=fr&rclk=1,N/A,Unnamed Road
202,SICAR Sarl,Courtier d'assurances,N/A N/A,97 36 06 06,N/A,"02 BP 1363 Immeuble BALLA, Ilot 284 Face Mosquée Centrale Zongo"
203,SICAR Sarl,Courtier d'assurances,"5,0 (1)",97 36 06 06,N/A,"9C4G+RPR, Face mosquée Zongo à Cotonou"
204,"CAIR Afrique (Courtage, Actuariat, Ingénierie des Risques)",Courtier d'assurances,N/A N/A,61 16 41 96,N/A,Scoa Gbeto
205,Czlavi,Compagnie d'assurance moto,N/A N/A,https://www.google.com/maps/place/Czlavi/data=!4m7!3m6!1s0x102355d2ae57b947:0xaf95bd9e360c0ff!8m2!3d6.3702928!4d2.3912362!16s%2Fg%2F11jyxtj9t7!19sChIJR7lXrtJVIxAR_8Bg49lb-Qo?authuser=0&hl=fr&rclk=1,N/A,99CR+4F9
206,UBA VIE ASSURANCE,Courtier d'assurances,"2,5 (2)",21 32 61 97,N/A,"9C43+428, Rue 390"
207,Sanlam Assurances akpakpa (Sènandé) ex SAHAM,Compagnie d'assurance,"3,8 (16)",96 68 75 32,N/A,Rue 1110
208,Okassur Courtier en Assurances,Courtier d'assurances,"4,8 (16)",97 41 84 86,N/A,97 41 84 86
209,Azur Courtage Assurances,Courtier d'assurances,N/A N/A,91 20 09 64,N/A,"ex immeuble ANPE, SCOA"
210,Atlantique Assurances Bénin,Compagnie d'assurance,"4,2 (64)",21 31 51 48,https://atlantique-assurances-benin.business.site/?utm_source=gmb&utm_medium=referral,04 BP 0851 Siège Social : Lot 103–H Immeuble Atlantique Assurances Quartier
211,FEDAS / Bar-Tito,Courtier d'assurances,"3,3 (16)",95 85 52 85,N/A,9C9C+Q4F
212,Bénin Challenge,Société d'assurance de titres de propriété,"4,7 (10)",61 18 35 26,N/A,9C94+QP3
213,Siège du POOL TPV-TPM,Agence d'assurance,N/A N/A,https://www.google.com/maps/place/Si%C3%A8ge+du+POOL+TPV-TPM/data=!4m7!3m6!1s0x1023555e9b553c1d:0x6bc2b71ce381be4!8m2!3d6.3588461!4d2.4372635!16s%2Fg%2F11tg6w394j!19sChIJHTxVm15VIxAR5Bs4znErvAY?authuser=0&hl=fr&rclk=1,N/A,"1er Etage Bâtiment 158, rue du GUFE, xoxo 10BP543"
214,OLEA Bénin,Courtier d'assurances,"4,8 (4)",60 63 96 96,https://www.olea.africa/benin.php,"Immeuble OCEANE, Champ de FOIRE"
215,Immeuble Atlantique Assurance,Compagnie d'assurance,"3,8 (12)",21 31 51 48,N/A,"9C7J+RJW, Boulevard Steinmetz"
216,EPMB Freeman Assurance,Courtier d'assurances,"4,0 (1)",90 74 86 86,N/A,"Maison EPMB, 01 BP 34 Gbènan, Carré 416 417"
217,ASK GRAS SAVOYE BENIN,Courtier d'assurances,"4,0 (27)",21 30 31 30,http://willistowerswatson.com/,01 BP 6901
218,Cif assurance vie Bénin,Compagnie d'assurance,"4,2 (10)",N/A,http://cif-vie.bj/,BP 0843 ADJAKE 08
219,FEDAS SA (FEDERATION D'ASSURANCES),Compagnie d'assurance,"4,5 (6)",21 31 56 77,N/A,9C7F+6X5
220,SAARB ASSURANCES,Compagnie d'assurance,"4,4 (5)",21 30 02 87,N/A,"9C33+W98, Rue 390"
221,AMAB : ASSURANCE MUTUELLE AGRICOLE DU BÉNIN,Compagnie d'assurance,"3,5 (13)",21 30 11 38,N/A,Rue 614B
222,TOP OFFICE BENIN,Service de transfert d'argent,"5,0 (2)",61 34 73 44,N/A,61 34 73 44
