index,name,activity,celebrity_indice,phone_number,web_site,adresse
51,Délé Investment Law Firm,Avocat,N/A N/A,40 63 65 40,http://deleinvestmentlaw.org/,40 63 65 40
52,Cabinet D’avocat Agathe Affougnon Ago,Cabinet d'avocats,"3,7 (3)",63 16 68 85,N/A,06BP3535
53,Edou Agathe Law,Cabinet d'avocats,N/A N/A,https://www.google.com/maps/place/Edou+Agathe+Law/data=!4m7!3m6!1s0x102357cdeda56c43:0xf11eaf0c69a7f756!8m2!3d6.3922553!4d2.3637097!16s%2Fg%2F11tdbkv1hn!19sChIJQ2yl7c1XIxARVvenaQyvHvE?authuser=0&hl=fr&rclk=1,N/A,"99R7+WF4, Rue 2180"
54,Ro dono,Avocat spécialisé en droit de la famille,"1,0 (1)",https://www.google.com/maps/place/Ro+dono/data=!4m7!3m6!1s0x1024a9338473734d:0xd72f570d1137307a!8m2!3d6.4039941!4d2.3313834!16s%2Fg%2F11fn00504f!19sChIJTXNzhDOpJBARejA3EQ1XL9c?authuser=0&hl=fr&rclk=1,N/A,C83J+HHR
55,Cabinet D'avocat Maître Ayodélé AHOUNOU,Siège social,N/A N/A,40 63 65 40,N/A,99MM+573
56,Cabinet du numérique et de la digitalisation,Cabinet d'avocats,N/A N/A,https://www.google.com/maps/place/Cabinet+du+num%C3%A9rique+et+de+la+digitalisation/data=!4m7!3m6!1s0x102355284d0a5f17:0xe18cc295770870bf!8m2!3d6.3526177!4d2.3878745!16s%2Fg%2F11t3mh_bjs!19sChIJF18KTShVIxARv3AId5XCjOE?authuser=0&hl=fr&rclk=1,N/A,993Q+34F
57,CABINET AS TOUFFLA CONSEILS,Services juridiques,"4,0 (2)",97 76 55 00,N/A,04 BP 1520
58,Cabinet Akani Chambers,Cabinet d'avocats,N/A N/A,53 22 38 25,N/A,"Carre 182, Rue des Fidjrosse"
59,Asssociation des Femmes Avocates du Bénin (AFA-BENIN),Siège social,"3,0 (1)",21 00 27 79,http://www.afab-benin.com/,"9C85+63X, Rue 614B"
60,Cabinet bababody,Avocat,N/A N/A,https://www.google.com/maps/place/Cabinet+bababody/data=!4m7!3m6!1s0x102355763ea5897f:0xd47d54b263bb38e3!8m2!3d6.3622244!4d2.3996447!16s%2Fg%2F11kcb6hpw6!19sChIJf4mlPnZVIxAR4zi7Y7JUfdQ?authuser=0&hl=fr&rclk=1,N/A,"996X+VVJ, Rue 620"
61,Paul & Co,Cabinet d'avocats,N/A N/A,https://www.google.com/maps/place/Paul+%26+Co/data=!4m7!3m6!1s0x1023552ec7879869:0x26396034e1d0d2e4!8m2!3d6.3786649!4d2.417701!16s%2Fg%2F11p5mn_cmc!19sChIJaZiHxy5VIxAR5NLQ4TRgOSY?authuser=0&hl=fr&rclk=1,N/A,"9CH9+F38, Rue 141B"
62,Lex Artifex LLP,Cabinet d'avocats,N/A N/A,https://www.google.com/maps/place/Lex+Artifex+LLP/data=!4m7!3m6!1s0x102355cd02f9646d:0x9fb60ac51d8fdeee!8m2!3d6.3702928!4d2.3912362!16s%2Fg%2F11fpfr7rz9!19sChIJbWT5As1VIxAR7t6PHcUKtp8?authuser=0&hl=fr&rclk=1,N/A,99CR+4F9
63,Cabinet D'Avocat Maitre Alfred BOCOVO,Siège social,N/A N/A,60 78 93 90,N/A,c/n° 3475 Zone A 02 BP 911
64,Kafui & Partners Benin,Avocat,"5,0 (40)",97 90 82 33,https://www.kafuipartners.com/,Cité Houeyiho Rue face SBEE Houeyiho
65,Cabinet d’avocats YABIT Armel Timothée,Avocat,"4,9 (7)",96 15 13 44,https://avocatyabit.bj/,9C54+WV4
66,Société Civile Professionnelle d’Avocats - GAMA,Avocat,"4,7 (7)",69 00 09 99,https://www.gama-avocatsafrique.com/,Rue en face de la clinique Aupiais C/756 Parcelle F Cadjehoun 2
67,CABINET D'AVOCATS GUY LAMBERT YEKPE,Cabinet d'avocats,"4,0 (4)",62 00 36 88,N/A,Rue des Dako Donou
68,Hélène Paty Law Firm,Cabinet d'avocats,"5,0 (5)",95 62 78 33,https://paty.legal/,"Lot 472, Porte 2177"
69,Le Cabinet D'avocats ANGELO HOUNKPATIN,Avocat généraliste,"5,0 (14)",21 32 17 11,N/A,"Rue No. 208 Parcelle ""C"" Sikecodji 01 BP 2753"
70,Cabinet Robert M. DOSSOU,Cabinet d'avocats,"3,8 (4)",21 31 44 11,http://www.cabinetrobertdossou.com/a-propos-du-cabinet/article/contacts,Boulevard Steinmetz
71,Cabinet d'Avocat BALOGOUN,Services juridiques,"5,0 (2)",67 16 63 24,N/A,71 Ave de Roi Guezo
72,SCPA HK,Avocat,"4,3 (3)",62 41 20 29,http://www.scpahk.com/,62 41 20 29
73,Cabinet T.S. Brice Zinzindohoue,Cabinet d'avocats,"4,7 (3)",97 01 33 34,N/A,97 01 33 34
74,Cabinet d'avocats Me DAKO & Associés,Avocat,"5,0 (1)",https://www.google.com/maps/place/Cabinet+d%27avocats+Me+DAKO+%26+Associ%C3%A9s/data=!4m7!3m6!1s0x102355dc066043eb:0xbbe573a26c70ace!8m2!3d6.3685208!4d2.4106189!16s%2Fg%2F11tj929kvn!19sChIJ60NgBtxVIxARzgrHJjpXvgs?authuser=0&hl=fr&rclk=1,N/A,Rue 616
75,Fattika & Associates Law Firm,Services juridiques,N/A N/A,56 73 93 48,https://fattikaassociates.com/,9C8X+WWX
76,Cabinet d’avocats Élie N VLAVONOU KPONOU,Avocat,"4,5 (2)",21 32 61 68,N/A,9CF3+MG
77,001 AANDREW LAW FIRM,Cabinet d'avocats,"5,0 (1)",98 35 13 22,http://001aandrewlawfirm.uk.ht/,9F6H+FRM
78,Cabinet de Me Gracia Noutais Holo,Avocat plaidant,"5,0 (1)",21 30 23 00,N/A,21 30 23 00
79,Cabinet d'avocats Jean Claude Gbogblenou,Avocat,N/A N/A,90 92 69 64,N/A,04BP622 Cadjèhoun
80,Maître Mariel Christian Gansou (Cabinet d'avocat GMC),Cabinet d'avocats,"4,0 (1)",91 40 75 75,N/A,04 BP 0608
81,Cabinet de Maître DATO,Cabinet d'avocats,"5,0 (2)",97 20 30 80,N/A,99GP+HW4
82,CABINET D'AVOCATS JRG LAW FIRM,Avocat,N/A N/A,97 50 58 73,https://www.jrghoklawfirm.com/,02 BP 505
83,Cabinet me SAÏZONOU,Avocat plaidant,N/A N/A,https://www.google.com/maps/place/Cabinet+me+SA%C3%8FZONOU/data=!4m7!3m6!1s0x102355f86062cc0b:0xbe8123df30740587!8m2!3d6.3554498!4d2.4205211!16s%2Fg%2F11tt23zlk9!19sChIJC8xiYPhVIxARhwV0MN8jgb4?authuser=0&hl=fr&rclk=1,N/A,9C4C+562
84,贝宁律所,Cabinet d'avocats,N/A N/A,https://www.google.com/maps/place/%E8%B4%9D%E5%AE%81%E5%BE%8B%E6%89%80/data=!4m7!3m6!1s0x102355489fca33e7:0x56562cf28206eb00!8m2!3d6.3631156!4d2.4339924!16s%2Fg%2F11ssz8xf25!19sChIJ5zPKn0hVIxARAOsGgvIsVlY?authuser=0&hl=fr&rclk=1,N/A,9C7M+7JF
85,Cabinet d'avocat Maitre Raymond Cyr Ségla GBESSEMEHLAN,Avocat généraliste,N/A N/A,21 07 50 37,N/A,"998W+GX7, 03 BP 4321"
86,001 AANDREW LAW FIRM,Cabinet d'avocats,"5,0 (1)",98 35 13 22,http://001aandrewlawfirm.uk.ht/,9C53+VJ4
87,Cabinet d'avocats - Maître Bidossessi AGBANI,Cabinet d'avocats,"4,0 (1)",95 52 81 38,N/A,01BP5050
88,Juripoint - Benin,Avocat en droit de l'immigration,N/A N/A,65 91 25 94,https://juripoint.com/fr/accueil/,Immeuble Chirad & Fils
89,Immeuble providence cabinet HOUGBEDJI,Avocat,"4,0 (1)",https://www.google.com/maps/place/Immeuble+providence+cabinet+HOUGBEDJI/data=!4m7!3m6!1s0x1023575c3326cc23:0xbf8664374b8b811b!8m2!3d6.3822888!4d2.3723959!16s%2Fg%2F11fn46_v1k!19sChIJI8wmM1xXIxARG4GLSzdkhr8?authuser=0&hl=fr&rclk=1,N/A,"99JC+WX6, Unnamed Road"
