index,name,activity,celebrity_indice,phone_number,web_site,adresse
26,SOPAI,Pâtisseries,"4,0 (52)",https://www.google.com/maps/place/SOPAI/data=!4m7!3m6!1s0x102355bf10357a35:0x2b7a5ca384fcc7af!8m2!3d6.3567108!4d2.3968732!16s%2Fg%2F11fqc8yct2!19sChIJNXo1EL9VIxARr8f8hKNceis?authuser=0&hl=fr&rclk=1,N/A,"994W+MPQ, Piste Amalco"
27,OMANI Chocolaterie Pâtisserie,Pâtisseries,"4,3 (134)",https://www.google.com/maps/place/OMANI+Chocolaterie+P%C3%A2tisserie/data=!4m7!3m6!1s0x10235433e3862bed:0x15cfffb39dd213cd!8m2!3d6.3546439!4d2.3954227!16s%2Fg%2F11c5_z5bqm!19sChIJ7SuG4zNUIxARzRPSnbP_zxU?authuser=0&hl=fr&rclk=1,N/A,Lot GT9 les Cocotiers 08BP785
28,Boulangerie Kpankpan,Boulangerie,"3,5 (19)",https://www.google.com/maps/place/Boulangerie+Kpankpan/data=!4m7!3m6!1s0x10235559e2dd7177:0x9ca8da57313cc881!8m2!3d6.3750219!4d2.442718!16s%2Fg%2F11fqbh8dqg!19sChIJd3Hd4llVIxARgcg8MVfaqJw?authuser=0&hl=fr&rclk=1,N/A,N/A
29,Boulangerie Pâtisserie Salon de thé St Christophe,Boulangerie,"2,5 (2)",https://www.google.com/maps/place/Boulangerie+P%C3%A2tisserie+Salon+de+th%C3%A9+St+Christophe/data=!4m7!3m6!1s0x102359e86bf179c1:0x4028a3eebbf6e0fd!8m2!3d6.358627!4d2.3015982!16s%2Fg%2F11rd8ct92c!19sChIJwXnxa-hZIxAR_eD2u-6jKEA?authuser=0&hl=fr&rclk=1,N/A,9852+FJ5
30,Cake Addict,Pâtisseries,"3,8 (36)",https://www.google.com/maps/place/Cake+Addict/data=!4m7!3m6!1s0x10235522d8861293:0xf9d62ee1e271bdb7!8m2!3d6.6509609!4d2.3430916!16s%2Fg%2F11c70drpls!19sChIJkxKG2CJVIxARt71x4uEu1vk?authuser=0&hl=fr&rclk=1,N/A,N/A
31,Francky's Pâtisseries,Café,"4,0 (69)",https://www.google.com/maps/place/Francky%27s+P%C3%A2tisseries/data=!4m7!3m6!1s0x10235546b8527657:0x755e607205114a39!8m2!3d6.384811!4d2.446316!16s%2Fg%2F11f4qf82r_!19sChIJV3ZSuEZVIxAROUoRBXJgXnU?authuser=0&hl=fr&rclk=1,N/A,9CMW+WGG
32,Boulangerie /Pâtisserie,Pâtisserie,"4,3 (3)",https://www.google.com/maps/place/Boulangerie+%2FP%C3%A2tisserie/data=!4m7!3m6!1s0x102355bb142a1c75:0x18e203dab7132350!8m2!3d6.3494059!4d2.3861758!16s%2Fg%2F11jv4x2h97!19sChIJdRwqFLtVIxARUCMTt9oD4hg?authuser=0&hl=fr&rclk=1,N/A,"89XP+QF7, Unnamed Road"
33,Pain GAZA,Boulangerie,"4,1 (17)",https://www.google.com/maps/place/Pain+GAZA/data=!4m7!3m6!1s0x102355e40d34d07f:0x34ef2728650c296!8m2!3d6.375465!4d2.3962083!16s%2Fg%2F11ll7ymkj4!19sChIJf9A0DeRVIxARlsJQhnLyTgM?authuser=0&hl=fr&rclk=1,N/A,"99GW+5FP, Rue 578"
34,La Marquise,Boulangerie,"3,1 (34)",https://www.google.com/maps/place/La+Marquise/data=!4m7!3m6!1s0x102354d591b9111b:0x197b0b9b15085f54!8m2!3d6.3583542!4d2.45733!16s%2Fg%2F11_shps18!19sChIJGxG5kdVUIxARVF8IFZsLexk?authuser=0&hl=fr&rclk=1,N/A,"9F54+8WW, Rue 1755"
35,ETS CHEZ ELLE,Pâtisseries,"3,5 (2)",https://www.google.com/maps/place/ETS+CHEZ+ELLE/data=!4m7!3m6!1s0x1023554f979b27ed:0xb7e20bf61a0fec25!8m2!3d6.3764268!4d2.4467382!16s%2Fg%2F11nnthh8bq!19sChIJ7Sebl09VIxARJewPGvYL4rc?authuser=0&hl=fr&rclk=1,N/A,"9CGW+HMH, Rue 1451"
36,Un Grain de Café,Boulangerie,"4,3 (9)",https://www.google.com/maps/place/Un+Grain+de+Caf%C3%A9/data=!4m7!3m6!1s0x102355bbc7ea3a5b:0xcabcbb571f79cab3!8m2!3d6.3630734!4d2.3986892!16s%2Fg%2F11jvpl_mfw!19sChIJWzrqx7tVIxARs8p5H1e7vMo?authuser=0&hl=fr&rclk=1,N/A,"997X+6FG, Rue 560"
37,BOULANGERIE DODJI,Boulangerie,"2,0 (1)",https://www.google.com/maps/place/BOULANGERIE+DODJI/data=!4m7!3m6!1s0x102357dff10309db:0x493a29a2175f58e8!8m2!3d6.3578385!4d2.3801499!16s%2Fg%2F11rvg1zv6q!19sChIJ2wkD8d9XIxAR6FhfF6IpOkk?authuser=0&hl=fr&rclk=1,N/A,995J+43J
38,Art Gourmet by ha,Pâtisseries,"4,1 (33)",https://www.google.com/maps/place/Art+Gourmet+by+ha/data=!4m7!3m6!1s0x1023555507762fb1:0x58989e78c1631f24!8m2!3d6.3637046!4d2.4225863!16s%2Fg%2F11ll9d655f!19sChIJsS92B1VVIxARJB9jwXiemFg?authuser=0&hl=fr&rclk=1,N/A,Ilot 542 - Quartier
39,Frangipane Pâtisserie,Pâtisserie,N/A N/A,https://www.google.com/maps/place/Frangipane+P%C3%A2tisserie/data=!4m7!3m6!1s0x102355762dcf7341:0x92d6b814c80305c7!8m2!3d6.3847465!4d2.4195855!16s%2Fg%2F11t9rgn45_!19sChIJQXPPLXZVIxARxwUDyBS41pI?authuser=0&hl=fr&rclk=1,N/A,06BP668
40,Dada Gâteau pâtisserie,Pâtisserie,"4,8 (9)",https://www.google.com/maps/place/Dada+G%C3%A2teau+p%C3%A2tisserie/data=!4m7!3m6!1s0x102357f9fa555231:0x59428492647f3f5e!8m2!3d6.3782235!4d2.3601494!16s%2Fg%2F11pzk50g85!19sChIJMVJV-vlXIxARXj9_ZJKEQlk?authuser=0&hl=fr&rclk=1,N/A,Rue 13.407
41,Comptoirs des Délices,Pâtisserie,"5,0 (1)",https://www.google.com/maps/place/Comptoirs+des+D%C3%A9lices/data=!4m7!3m6!1s0x102355ff660aa3a3:0x55656807d54a5cd9!8m2!3d6.3693097!4d2.3925813!16s%2Fg%2F11fls6w901!19sChIJo6MKZv9VIxAR2VxK1QdoZVU?authuser=0&hl=fr&rclk=1,N/A,Cité de la Francophonie HOUEHIHO LOT T3 Cotonou Bénin
42,Délices de Nella,Pâtisseries,N/A N/A,https://www.google.com/maps/place/D%C3%A9lices+de+Nella/data=!4m7!3m6!1s0x102355979dee689d:0xca71a2e029a34605!8m2!3d6.3786415!4d2.4134804!16s%2Fg%2F11j59phg4v!19sChIJnWjunZdVIxARBUajKeCicco?authuser=0&hl=fr&rclk=1,N/A,Houehoun 2ième rue après la mairie de wologuede
43,Pâtisserie Abatan,Pâtisseries,N/A N/A,https://www.google.com/maps/place/P%C3%A2tisserie+Abatan/data=!4m7!3m6!1s0x102355b82b76deed:0xaee2b4f70fffebb2!8m2!3d6.3544484!4d2.3634765!16s%2Fg%2F11np3m3ths!19sChIJ7d52K7hVIxARsuv_D_e04q4?authuser=0&hl=fr&rclk=1,N/A,142
44,Chez Aladja Honon,Pâtisseries,"5,0 (2)",https://www.google.com/maps/place/Chez+Aladja+Honon/data=!4m7!3m6!1s0x1023558e3a7df729:0xa45fd465c348f114!8m2!3d6.3686514!4d2.4328759!16s%2Fg%2F11n3916tx8!19sChIJKfd9Oo5VIxARFPFIw2XUX6Q?authuser=0&hl=fr&rclk=1,N/A,"9C9M+F56, Rue du Révérend Père Kitti"
45,Victorycakes cotonou,Boulangerie,N/A N/A,https://www.google.com/maps/place/Victorycakes+cotonou/data=!4m7!3m6!1s0x103cab89be8557e7:0x743739cabf5af606!8m2!3d6.381264!4d2.4718264!16s%2Fg%2F11q3671rq9!19sChIJ51eFvomrPBARBvZav8o5N3Q?authuser=0&hl=fr&rclk=1,N/A,Les premise avontru Pharmacie Bien Etre
46,Chez Elles,Boulangerie,N/A N/A,https://www.google.com/maps/place/Chez+Elles/data=!4m7!3m6!1s0x103cab77297946c1:0x53cb2714f0b1cf1e!8m2!3d6.3780911!4d2.4728252!16s%2Fg%2F11khmn50j6!19sChIJwUZ5KXerPBARHs-x8BQny1M?authuser=0&hl=fr&rclk=1,N/A,9FHF+64P
47,LES FESTIVITÉS,Pâtisseries,"4,1 (14)",https://www.google.com/maps/place/LES+FESTIVIT%C3%89S/data=!4m7!3m6!1s0x1023555c6f51e267:0xe9bc61ae82320e28!8m2!3d6.3759542!4d2.4112596!16s%2Fg%2F11g0g1v6xk!19sChIJZ-JRb1xVIxARKA4ygq5hvOk?authuser=0&hl=fr&rclk=1,N/A,9CG6+9GJ
48,SPERANZA,Boulangerie,N/A N/A,https://www.google.com/maps/place/SPERANZA/data=!4m7!3m6!1s0x103caba0afcc8e01:0xb84917561a77ff28!8m2!3d6.3787502!4d2.4659405!16s%2Fg%2F11q1t1b_s5!19sChIJAY7Mr6CrPBARKP93GlYXSbg?authuser=0&hl=fr&rclk=1,N/A,"9FH8+G94, Rue 1308"
49,Jennys Cakes,Boulangerie,"4,3 (24)",https://www.google.com/maps/place/Jennys+Cakes/data=!4m7!3m6!1s0x102355864f023447:0x14aaa96adb6d9a96!8m2!3d6.3799244!4d2.4414118!16s%2Fg%2F11gv0w3clc!19sChIJRzQCT4ZVIxARlppt22qpqhQ?authuser=0&hl=fr&rclk=1,N/A,Akpapa
50,P Minos Cakery,Magasin de gâteaux,"5,0 (23)",https://www.google.com/maps/place/P+Minos+Cakery/data=!4m7!3m6!1s0x102355794cc32991:0xc41a018b357465f4!8m2!3d6.3798544!4d2.4467061!16s%2Fg%2F11rj66s3rh!19sChIJkSnDTHlVIxAR9GV0NYsBGsQ?authuser=0&hl=fr&rclk=1,N/A,Zoom service
51,Les délices de Manue,Pâtisseries,"5,0 (3)",https://www.google.com/maps/place/Les+d%C3%A9lices+de+Manue/data=!4m7!3m6!1s0x102355650c494fcf:0x7b3299c7de485c50!8m2!3d6.3789476!4d2.3881503!16s%2Fg%2F11h5vz53v6!19sChIJz09JDGVVIxARUFxI3seZMns?authuser=0&hl=fr&rclk=1,N/A,99HQ+H7C
52,PÂTISSERIE CHEZ MAX,Pâtisseries,N/A N/A,https://www.google.com/maps/place/P%C3%82TISSERIE+CHEZ+MAX/data=!4m7!3m6!1s0x102355ec20267255:0x92502fe5e3537d2a!8m2!3d6.3835787!4d2.4165669!16s%2Fg%2F11pz6x7gdt!19sChIJVXImIOxVIxARKn1T4-UvUJI?authuser=0&hl=fr&rclk=1,N/A,N/A
53,Les Petites douceurs d'Anna,Pâtisserie,N/A N/A,https://www.google.com/maps/place/Les+Petites+douceurs+d%27Anna/data=!4m7!3m6!1s0x102355ca49d36d5d:0x5ed909af96add131!8m2!3d6.3658358!4d2.3862366!16s%2Fg%2F11ss1kwrm9!19sChIJXW3TScpVIxARMdGtlq8J2V4?authuser=0&hl=fr&rclk=1,N/A,444
54,Ola Patisserie,Pâtisseries,N/A N/A,https://www.google.com/maps/place/Ola+Patisserie/data=!4m7!3m6!1s0x102355ccd7bfa7a9:0x22dc8682d40698eb!8m2!3d6.3819121!4d2.4450006!16s%2Fg%2F11nm_y454p!19sChIJqae_18xVIxAR65gG1IKG3CI?authuser=0&hl=fr&rclk=1,N/A,9CJW+Q26
55,Délices de Fleur,Pâtisserie,N/A N/A,https://www.google.com/maps/place/D%C3%A9lices+de+Fleur/data=!4m7!3m6!1s0x102355f7f12aa1d5:0x3ea4de2c53c17dc8!8m2!3d6.3675067!4d2.402821!16s%2Fg%2F11khrmrk_c!19sChIJ1aEq8fdVIxARyH3BUyzepD4?authuser=0&hl=fr&rclk=1,N/A,444
56,Dekakon,Boulangerie,N/A N/A,https://www.google.com/maps/place/Dekakon/data=!4m7!3m6!1s0x102355243ce64a69:0x13dcc24b96e63bdb!8m2!3d6.3720541!4d2.3914389!16s%2Fg%2F11nyv0vv7h!19sChIJaUrmPCRVIxAR2zvmlkvC3BM?authuser=0&hl=fr&rclk=1,N/A,99CR+RHG
57,Restaurant Pâtisserie Boulangerie LA DELIVRANCE,Pâtisseries,N/A N/A,https://www.google.com/maps/place/Restaurant+P%C3%A2tisserie+Boulangerie+LA+DELIVRANCE/data=!4m7!3m6!1s0x1023570f65f97f7f:0x899675bf0acee9ef!8m2!3d6.3876539!4d2.3221589!16s%2Fg%2F11t34w8th1!19sChIJf3_5ZQ9XIxAR7-nOCr91lok?authuser=0&hl=fr&rclk=1,N/A,"98QC+3V7, Rte de Lomé"
